Customer_ID,.pred_class,.pred_Creditworthy,.pred_Non-Creditworthy,Account_Balance,Duration_of_Credit_Month,Payment_Status_of_Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,Length_of_current_employment,Instalment_per_cent,Guarantors,Duration_in_Current_address,Most_valuable_available_asset,Age_years,Concurrent_Credits,Type_of_apartment,No_of_Credits_at_this_Bank,Occupation,No_of_dependents,Telephone,Foreign_Worker
391,Creditworthy,0.986,0.014,Some Balance,24,Paid Up,Home Related,2397,£100-£1000,4-7 yrs,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
116,Creditworthy,0.974,0.026,Some Balance,24,Paid Up,New car,3488,< £100,1-4 yrs,3,None,4,3,23,Other Banks/Depts,2,1,1,1,1,1
353,Creditworthy,0.97,0.03,Some Balance,15,Paid Up,Home Related,1262,£100-£1000,1-4 yrs,4,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,2,1
339,Creditworthy,0.956,0.044,Some Balance,24,No Problems (in this bank),Used car,1585,None,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,More than 1,1,1,1,1
40,Creditworthy,0.956,0.044,Some Balance,15,No Problems (in this bank),New car,2360,£100-£1000,< 1yr,2,None,2,3,36,Other Banks/Depts,2,1,1,1,2,1
355,Creditworthy,0.952,0.048,Some Balance,36,No Problems (in this bank),Home Related,6304,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,1,1
273,Creditworthy,0.948,0.052,Some Balance,10,Paid Up,Home Related,894,£100-£1000,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,1,1,1,2,1
185,Creditworthy,0.946,0.054,Some Balance,21,No Problems (in this bank),Used car,1591,< £100,1-4 yrs,4,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1
105,Creditworthy,0.944,0.056,Some Balance,21,Paid Up,Home Related,1572,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1
91,Creditworthy,0.942,0.058,Some Balance,24,Paid Up,Home Related,2255,£100-£1000,< 1yr,4,None,1,2,54,Other Banks/Depts,2,1,1,1,1,1
63,Creditworthy,0.924,0.076,Some Balance,9,Paid Up,Home Related,3832,£100-£1000,4-7 yrs,1,None,4,1,64,Other Banks/Depts,2,1,1,1,1,1
102,Creditworthy,0.922,0.078,Some Balance,24,No Problems (in this bank),New car,4679,None,1-4 yrs,3,None,3,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
52,Creditworthy,0.922,0.078,No Account,12,No Problems (in this bank),Home Related,2366,£100-£1000,1-4 yrs,3,None,3,3,36,Other Banks/Depts,2,1,1,1,2,1
474,Creditworthy,0.922,0.078,Some Balance,12,No Problems (in this bank),Home Related,939,£100-£1000,1-4 yrs,4,None,2,1,28,Other Banks/Depts,2,More than 1,1,1,2,1
133,Creditworthy,0.922,0.078,Some Balance,9,Paid Up,Home Related,1126,< £100,4-7 yrs,2,None,4,1,49,Other Banks/Depts,2,1,1,1,1,1
250,Creditworthy,0.92,0.08,Some Balance,6,No Problems (in this bank),Home Related,2080,£100-£1000,< 1yr,1,None,2,3,24,Other Banks/Depts,2,1,1,1,1,1
143,Creditworthy,0.918,0.082,Some Balance,9,Paid Up,Used car,2301,< £100,< 1yr,2,None,4,2,22,Other Banks/Depts,1,1,1,1,1,1
159,Creditworthy,0.912,0.088,Some Balance,10,Paid Up,Home Related,1418,< £100,< 1yr,3,None,2,1,35,Other Banks/Depts,1,1,1,1,1,2
141,Creditworthy,0.91,0.09,Some Balance,15,No Problems (in this bank),Home Related,1478,None,< 1yr,4,None,3,1,33,Other Banks/Depts,2,More than 1,1,1,1,1
125,Creditworthy,0.908,0.092,Some Balance,22,Paid Up,Home Related,2675,£100-£1000,4-7 yrs,3,None,4,3,40,Other Banks/Depts,2,1,1,1,1,1
61,Creditworthy,0.904,0.096,Some Balance,24,No Problems (in this bank),Home Related,3148,£100-£1000,< 1yr,3,None,2,3,31,Other Banks/Depts,2,More than 1,1,1,2,1
224,Creditworthy,0.902,0.098,Some Balance,12,Paid Up,New car,2445,£100-£1000,< 1yr,2,None,4,3,26,Other Banks/Depts,1,1,1,1,2,1
245,Creditworthy,0.902,0.098,Some Balance,24,No Problems (in this bank),Home Related,2058,None,< 1yr,4,None,2,1,33,Other Banks/Depts,2,More than 1,1,1,2,1
